TXKEY,N
VS0I00120180316AAB08,1
MC0I00120180328AAC60,2
MC0I00120180321AAP15,3
VS0I00120180313AABP7,4
VS0I00120180313AABPK,5
VS0I00120180313AABPM,6
VS0I00120180313AABP9,7
MC0I00120180301AALBV,8
VS0I00120180301AAHRG,9
MC0I00120180329AARC6,10
VS0I00120180326AAKJM,11
VS0I00120180326AAKJB,12
MC0I00120180301AASN7,13
MC0I00120180323AACAA,14
MC0I00120180323AACAB,15
VS0I00120180326AAKLT,16
VS0I00120180305AAAY9,17
MC0I00120180317AAS14,18
MC0I00120180317AAS11,19
MC0I00120180323AAB58,20
MC0I00120180319AAWAB,21
MC0I00120180319AAWAR,22
VS0I00120180319AABMI,23
MC0I00120180317AASXJ,24
MC0I00120180320AAPEG,25
VS0I00120180321AABE4,26
VS0I00120180328AABIO,27
VS0I00120180330AAJLV,28
MC0I00120180318AAKUP,29
MC0I00120180318AAKUL,30
MC0I00120180318AAKUG,31
VS0I00120180309AAMI3,32
VS0I00120180323AAEOJ,33
MC0I00120180330AAPDU,34
VS0I00120180328AAJ62,35
MC0I00120180331AANLG,36
MC0I00120180331AANLO,37
MC0I00120180331AANLT,38
MC0I00120180321AATZJ,39
MC0I00120180321AAT0R,40
MC0I00120180321AATWU,41
MC0I00120180321AATX4,42
VS0I00120180326AAJH9,43
MC0I00120180306AASTW,44
MC0I00120180306AAST7,45
VS0I00120180331AAQVV,46
VS0I00120180331AAQWB,47
VS0I00120180327AABJY,48
MC0I00120180312AAXAM,49
MC0I00120180313AACE5,50
VS0I00120180330AALAZ,51
MC0I00120180310AADQA,52
MC0I00120180313AACO0,53
MC0I00120180330AAD9K,54
MC0I00120180306AAMR0,55
MC0I00120180322AAQIN,56
MC0I00120180324AARYJ,57
MC0I00120180324AARYE,58
MC0I00120180315AAC2P,59
MC0I00120180325AAT2D,60
NC0100B20180329AAAI9,61
MC0I00120180320AAXPQ,62
MC0I00120180316AAM65,63
MC0I00120180321AACLP,64
MC0I00120180321AACLS,65
MC0I00120180326AAS6C,66
VS0I00120180305AAAY7,67
MC0I00120180309AAI2P,68
MC0I00120180313AAP65,69
MC0I00120180305AAVUC,70
MC0I00120180321AACQ6,71
VS0I00120180314AAA2X,72
VS0I00120180314AAA21,73
MC0I00120180320AAMDQ,74
MC0I00120180305AACZC,75
VS0I00120180315AAM8P,76
VS0I00120180315AANAD,77
MC0I00120180304AAGFG,78
MC0I00120180326AACOP,79
VS0I00120180326AAJIO,80
MC0I00120180327AAO7U,81
VS0I00120180316AAN4H,82
VS0I00120180316AAN4L,83
MC0I00120180312AAOTZ,84
MC0I00120180321AACM9,85
MC0I00120180310AAHKJ,86
MC0I00120180313AACUV,87
MC0I00120180320AASHE,88
MC0I00120180315AAOX9,89
VS0I00120180316AABZA,90
VS0I00120180316AABZB,91
MC0I00120180310AAKH8,92
MC0I00120180322AAQII,93
MC0I00120180304AAPMO,94
VS0I00120180309AAI4H,95
VS0I00120180306AANTT,96
VS0I00120180306AANS8,97
VS0I00120180306AANTG,98
VS0I00120180322AALBG,99
MC0I00120180322AAKIK,100